person_id,primary_role,name,courtesy_name,pseudonym,other_names,choronym,birth_death,period_ref,authority_ids,source_book,source_chapter,source_text
"meso_houhualu_e1a9aeed7df1","郑法士","未详","未详","未详","吴","活跃于周隋间","周","未详","《后画录·彦悰》.md","周中大夫郑法士","### 周中大夫郑法士
取法张公，备该万物。后来冠冕，获擅名家。"
"meso_houhualu_5cbb49e6cb13","孙尚孜","未详","未详","孙尚子","吴","活跃于隋","隋","未详","《后画录·彦悰》.md","隋孙尚孜","### 隋孙尚孜
师模顾、陆，骨气有余。至于鬼神，性多偏擅；妇人亦有风态。"
"meso_houhualu_372056e84da7","杨子华","未详","未详","未详","齐","活跃于北齐","北齐","未详","《后画录·彦悰》.md","北齐杨子华","### 北齐杨子华
北齐之最。唯公有图，善写龙兽，能致风云。"
"meso_houhualu_355d7a649f95","田僧亮","未详","未详","未详","齐","活跃于北齐","周","未详","《后画录·彦悰》.md","周常侍田僧亮","### 周常侍田僧亮
自恃生知，不由师授。田家一艺，今古殊绝。"
"meso_houhualu_9682493466e1","曹仲达","未详","未详","未详","曹国","活跃于北齐","北齐","未详","《后画录·彦悰》.md","北齐朝散大夫曹仲达","### 北齐朝散大夫曹仲达
师依周研，竹树山水。外国佛像，无竞于时。"
"meso_houhualu_1a511b1e50cd","阎立本","未详","未详","未详","雍州万年","约601-673","唐","未详","《后画录·彦悰》.md","唐司平太常伯阎立本","### 唐司平太常伯阎立本
学宗张、郑，奇态不穷。变古象今，天下取则。"
"meso_houhualu_ce7b37fafb3d","杨契丹","未详","未详","未详","山东","活跃于隋","隋","未详","《后画录·彦悰》.md","隋参军杨契丹","### 隋参军杨契丹
六法颇该，殊丰骨气。山东体制，允属伊人。"
"meso_houhualu_bd01c5528de5","陈善见","未详","未详","未详","吴","活跃于隋","隋","未详","《后画录·彦悰》.md","隋陈善见","### 隋陈善见
准的郑公，触途成擅。笔媚温润，斯人所长。"
"meso_houhualu_a29b0bda4636","董伯仁","未详","未详","未详","汝南","活跃于隋","隋","未详","《后画录·彦悰》.md","南齐殿中将军董伯仁","### 南齐殿中将军董伯仁
综涉多端，尤精位置。屏障一种，无愧前贤。"
"meso_houhualu_6158bcae697c","江志","未详","未详","未详","未详","活跃于隋","隋","未详","《后画录·彦悰》.md","隋江志","### 隋江志
笔力劲健，风神顿爽。模山拟水，得其真体。"
"meso_houhualu_b571f7dd86ab","李雅","未详","未详","未详","未详","活跃于隋","隋","未详","《后画录·彦悰》.md","隋李雅","### 隋李雅
神气抑扬，独高伦伍。圣僧形制，是所尤攻。"
"meso_houhualu_ef3cb8698562","周昙妍","未详","未详","未详","未详","活跃于北齐","北齐","未详","《后画录·彦悰》.md","齐周昙妍","### 齐周昙妍
师塞北勒，法曹仲达。方韩则有余，比曹则不足。亦若文、武创拨乱之功，成王安太平之业。《名画记》云：塞北勒未详。"
"meso_houhualu_881388985a4d","展子虔","未详","未详","未详","渤海","约550-604","隋","未详","《后画录·彦悰》.md","宋展子虔作","### 宋展子虔作
一本作隋。

触物为情，备该绝妙。尤善楼阁，人马亦长。远近山川，咫尺千里。"
"meso_houhualu_3e732f5c08e6","王仲舒","未详","未详","未详","吴","活跃于隋","隋","未详","《后画录·彦悰》.md","隋王仲舒","### 隋王仲舒
北面孙公，风骨不逮。精熟婉润，名辈所推。"
"meso_houhualu_6722e89332ee","袁子昂","未详","未详","袁昂","江左","活跃于周","周","未详","《后画录·彦悰》.md","周袁子昂","### 周袁子昂
一本作梁中书袁昂。

禀训郑公，殆无失坠。妇人一绝，超彼常伦。"
"meso_houhualu_198ad85989ef","刘褒","未详","未详","未详","未详","活跃于唐","唐","未详","《后画录·彦悰》.md","唐刘褒","### 唐刘褒
点画不多，殆及枢要。鸟雀其变，诚为酷似。"
